kanwil,nama_upt
Jawa Tengah,RUTAN KELAS IIB BANJARNEGARA
Jawa Tengah,RUTAN KELAS IIB BANYUMAS
Jawa Tengah,RUTAN KELAS IIB BLORA
Jawa Tengah,RUTAN KELAS IIB BOYOLALI
Jawa Tengah,RUTAN KELAS IIB DEMAK
Jawa Tengah,RUTAN KELAS IIB JEPARA
Jawa Tengah,RUTAN KELAS IIB KEBUMEN
Jawa Tengah,RUTAN KELAS IIB KUDUS
Jawa Tengah,RUTAN KELAS IIB PEMALANG
Jawa Tengah,RUTAN KELAS IIB PURBALINGGA
Jawa Tengah,RUTAN KELAS IIB PURWOREJO
Jawa Tengah,RUTAN KELAS IIB REMBANG
Jawa Tengah,RUTAN KELAS IIB SALATIGA
Jawa Tengah,RUTAN KELAS IIB TEMANGGUNG
Jawa Tengah,RUTAN KELAS IIB WONOSOBO
Jawa Timur,BAPAS KELAS I MALANG
Jawa Timur,BAPAS KELAS I SURABAYA
Jawa Timur,BAPAS KELAS II BOJONEGORO
Jawa Timur,BAPAS KELAS II JEMBER
Jawa Timur,BAPAS KELAS II KEDIRI
Jawa Timur,BAPAS KELAS II MADIUN
Jawa Timur,BAPAS KELAS II PAMEKASAN
Jawa Timur,LAPAS KELAS I MADIUN
Jawa Timur,LAPAS KELAS I MALANG
Jawa Timur,LAPAS KELAS I SURABAYA
Jawa Timur,LAPAS KELAS IIA BANYUWANGI
Jawa Timur,LAPAS KELAS IIA BOJONEGORO
Jawa Timur,LAPAS KELAS IIA JEMBER
Jawa Timur,LAPAS KELAS IIA KEDIRI
Jawa Timur,LAPAS KELAS IIA NARKOTIKA PAMEKASAN
Jawa Timur,LAPAS KELAS IIA PAMEKASAN
Jawa Timur,LAPAS KELAS IIA PEREMPUAN MALANG
Jawa Timur,LAPAS KELAS IIA SIDOARJO
Jawa Timur,LAPAS KELAS IIB BLITAR
Jawa Timur,LAPAS KELAS IIB BONDOWOSO
Jawa Timur,LAPAS KELAS IIB JOMBANG
Jawa Timur,LAPAS KELAS IIB LAMONGAN
Jawa Timur,LAPAS KELAS IIB LUMAJANG
Jawa Timur,LAPAS KELAS IIB MOJOKERTO
Jawa Timur,LAPAS KELAS IIB NGAWI
Jawa Timur,LAPAS KELAS IIB PASURUAN
Jawa Timur,LAPAS KELAS IIB PROBOLINGGO
Jawa Timur,LAPAS KELAS IIB TUBAN
Jawa Timur,LAPAS KELAS IIB TULUNGAGUNG
Jawa Timur,LAPAS KELAS III ARJASA
Jawa Timur,LAPAS PEMUDA KELAS IIA MADIUN
Jawa Timur,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I BLITAR
Jawa Timur,RUTAN KELAS I SURABAYA
Jawa Timur,RUTAN KELAS IIB BANGIL
Jawa Timur,RUTAN KELAS IIB BANGKALAN
Jawa Timur,RUTAN KELAS IIB GRESIK
Jawa Timur,RUTAN KELAS IIB KRAKSAAN
Jawa Timur,RUTAN KELAS IIB MAGETAN
Jawa Timur,RUTAN KELAS IIB NGANJUK
Jawa Timur,RUTAN KELAS IIB PACITAN
Jawa Timur,RUTAN KELAS IIB PONOROGO
Jawa Timur,RUTAN KELAS IIB SAMPANG
Jawa Timur,RUTAN KELAS IIB SITUBONDO
Jawa Timur,RUTAN KELAS IIB SUMENEP
Jawa Timur,RUTAN KELAS IIB TRENGGALEK
Jawa Timur,RUTAN PEREMPUAN KELAS IIA SURABAYA
Kalimantan Barat,BAPAS KELAS II PONTIANAK
Kalimantan Barat,BAPAS KELAS II SINTANG
Kalimantan Barat,LAPAS KELAS IIA PONTIANAK
Kalimantan Barat,LAPAS KELAS IIB KETAPANG
Kalimantan Barat,LAPAS KELAS IIB SINGKAWANG
Kalimantan Barat,LAPAS KELAS IIB SINTANG
Kalimantan Barat,LAPAS PEREMPUAN KELAS IIA PONTIANAK
Kalimantan Barat,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II SUNGAI RAYA
Kalimantan Barat,RUTAN KELAS IIA PONTIANAK
Kalimantan Barat,RUTAN KELAS IIB BENGKAYANG
Kalimantan Barat,RUTAN KELAS IIB LANDAK
Kalimantan Barat,RUTAN KELAS IIB MEMPAWAH
Kalimantan Barat,RUTAN KELAS IIB PUTUSSIBAU
Kalimantan Barat,RUTAN KELAS IIB SAMBAS
Kalimantan Barat,RUTAN KELAS IIB SANGGAU
Kalimantan Selatan,BAPAS KELAS II AMUNTAI
